gid,position_x,value
0,0,0.175148
1,0.05,0.191565
2,0.1,0.207457
3,0.15,0.222805
4,0.2,0.237592
5,0.25,0.251809
6,0.3,0.265448
7,0.35,0.278508
8,0.4,0.290988
9,0.45,0.302895
10,0.5,0.314235
11,0.55,0.325019
12,0.6,0.335261
13,0.65,0.344977
14,0.7,0.354184
15,0.75,0.362903
16,0.8,0.371156
17,0.85,0.378966
18,0.9,0.386359
19,0.95,0.393361
20,1,0.4
