gid,position_x,value
0,0,50
1,0.05,54.975
2,0.1,59.7
3,0.15,64.175
4,0.2,68.4
5,0.25,72.375
6,0.3,76.1
7,0.35,79.575
8,0.4,82.8
9,0.45,85.775
10,0.5,88.5
11,0.55,90.975
12,0.6,93.2
13,0.65,95.175
14,0.7,96.9
15,0.75,98.375
16,0.8,99.6
17,0.85,100.575
18,0.9,101.3
19,0.95,101.775
20,1,102
