gid,position_x,value
0,0,50.9388
1,0.05,50.954
2,0.1,50.9639
3,0.15,50.9681
4,0.2,50.9663
5,0.25,50.9584
6,0.3,50.944
7,0.35,50.9231
8,0.4,50.8954
9,0.45,50.8609
10,0.5,50.8195
11,0.55,50.7709
12,0.6,50.7151
13,0.65,50.652
14,0.7,50.5816
15,0.75,50.5037
16,0.8,50.4183
17,0.85,50.3252
18,0.9,50.2246
19,0.95,50.1162
20,1,50
