gid,position_x,value
0,0,50
1,0.05,52.875
2,0.1,55.5
3,0.15,57.875
4,0.2,60
5,0.25,61.875
6,0.3,63.5
7,0.35,64.875
8,0.4,66
9,0.45,66.875
10,0.5,67.5
11,0.55,67.875
12,0.6,68
13,0.65,67.875
14,0.7,67.5
15,0.75,66.875
16,0.8,66
17,0.85,64.875
18,0.9,63.5
19,0.95,61.875
20,1,60
