gid,position_x,value
10,0.5,55.5556
11,0.55,54.4167
12,0.6,53.2778
13,0.65,52.1389
14,0.7,51
15,0.75,49.8611
16,0.8,48.7222
17,0.85,47.5833
18,0.9,46.4444
19,0.95,45.3056
20,1,44.1667
21,1.05,43.0278
22,1.1,41.8889
23,1.15,40.75
24,1.2,39.6111
25,1.25,38.4722
26,1.3,37.3333
27,1.35,36.1944
28,1.4,35.0556
29,1.45,33.9167
30,1.5,32.7778
