gid,position_x,value
0,0,50
1,0.05,56.1806
2,0.1,61.1111
3,0.15,64.7917
4,0.2,67.2222
5,0.25,68.4028
6,0.3,68.3333
7,0.35,67.0139
8,0.4,64.4444
9,0.45,60.625
10,0.5,55.5556
