gid,position_x,value
0,0,0.2
1,0.05,0.396043
2,0.1,0.574535
3,0.15,0.730173
4,0.2,0.859639
5,0.25,0.9612
6,0.3,1.03428
7,0.35,1.07907
8,0.4,1.09625
9,0.45,1.0867
10,0.5,1.05144
