gid,position_x,value
0,0,0.3
1,0.05,0.270766
2,0.1,0.243639
3,0.15,0.219253
4,0.2,0.198009
5,0.25,0.180113
6,0.3,0.165635
7,0.35,0.154551
8,0.4,0.146781
9,0.45,0.142218
10,0.5,0.14074
