gid,position_x,value
10,0.5,1.05144
11,0.55,1.00387
12,0.6,0.956298
13,0.65,0.908726
14,0.7,0.861154
15,0.75,0.813581
16,0.8,0.766009
17,0.85,0.718437
18,0.9,0.670865
19,0.95,0.623293
20,1,0.575721
21,1.05,0.528149
22,1.1,0.480577
23,1.15,0.433005
24,1.2,0.385433
25,1.25,0.33786
26,1.3,0.290288
27,1.35,0.242716
28,1.4,0.195144
29,1.45,0.147572
30,1.5,0.1
